timestamp,Catania-maxTemp,Catania-minTemp,Catania-medTemp
20220422T0000,23.61149,10.041491,16.250238
20220423T0000,19.62149,9.66149,15.693989
20220424T0000,28.78149,12.68149,18.661491
20220425T0000,21.03149,13.05149,16.778574
20220426T0000,20.86149,14.23149,17.161074
20220427T0000,21.04149,14.18149,17.393574
20220428T0000,20.901491,13.291491,17.132322
20220429T0000,21.45149,13.95149,17.898575
20220430T0000,21.05149,14.35149,18.203575
20220501T0000,21.161491,14.6214905,17.193573
20220502T0000,20.061491,13.751491,16.965654
20220503T0000,19.62149,12.72149,16.295656
20220504T0000,20.86149,13.73149,17.23691
20220505T0000,20.80149,14.24149,17.683157
20220506T0000,18.441492,13.66149,16.72524
